source_string,code_system,concept_id,concept_name,domain_id,vocabulary_id,mapping_version,decided_by,decided_on,note
"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION",SOURCE,36782274,Acetaminophen 10 MG/ML Intravenous Solution,Drug,RxNorm Extension,1,yxx,2026-09-02,
ACETAMINOPHEN 325 MG TABLET,SOURCE,1127433,acetaminophen 325 MG Oral Tablet,Drug,RxNorm,1,yxx,2026-09-02,
ACETAMINOPHEN 500 MG TABLET,SOURCE,19020053,acetaminophen 500 MG Oral Tablet,Drug,RxNorm,1,yxx,2026-09-02,
ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY,SOURCE,1125392,acetaminophen 650 MG Rectal Suppository,Drug,RxNorm,1,yxx,2026-09-02,
ALLOPURINOL 100 MG TABLET,SOURCE,1167323,allopurinol 100 MG Oral Tablet,Drug,RxNorm,1,yxx,2026-09-02,
ALPRAZOLAM 0.5 MG TABLET,SOURCE,19072934,alprazolam 0.5 MG Oral Tablet,Drug,RxNorm,1,yxx,2026-09-02,
ALTEPLASE 2 MG INTRA-CATHETER SOLUTION,SOURCE,41275142,alteplase 2 MG Injectable Solution,Drug,RxNorm Extension,1,yxx,2026-09-02,
AMLODIPINE 5 MG TABLET,SOURCE,1332419,amlodipine 5 MG Oral Tablet,Drug,RxNorm,1,yxx,2026-09-02,
AMOXICILLIN 500 MG CAPSULE,SOURCE,19073187,amoxicillin 500 MG Oral Capsule,Drug,RxNorm,1,yxx,2026-09-02,
AMOXICILLIN 875 MG-POTASSIUM CLAVULANATE 125 MG TABLET,SOURCE,19115197,amoxicillin 875 MG / clavulanate 125 MG Oral Tablet,Drug,RxNorm,1,yxx,2026-09-02,
APIXABAN 2.5 MG TABLET,SOURCE,43013026,apixaban 2.5 MG Oral Tablet,Drug,RxNorm,1,yxx,2026-09-02,
APIXABAN 5 MG TABLET,SOURCE,43013030,apixaban 5 MG Oral Tablet,Drug,RxNorm,1,yxx,2026-09-02,
AZACITIDINE IVPB (TOTAL VOLUME),SOURCE,35604287,azacitidine Injection,Drug,RxNorm,1,yxx,2026-09-02,
AZITHROMYCIN 250 MG TABLET,SOURCE,19073777,azithromycin 250 MG Oral Tablet,Drug,RxNorm,1,yxx,2026-09-02,
BENZONATATE 100 MG CAPSULE,SOURCE,1136682,benzonatate 100 MG Oral Capsule,Drug,RxNorm,1,yxx,2026-09-02,
BEVACIZUMAB-AWWB CHEMO IVPB,SOURCE,1510544,bevacizumab-awwb 25 MG/ML Injection,Drug,RxNorm,1,yxx,2026-09-02,
"BISACODYL 5 MG TABLET,DELAYED RELEASE",SOURCE,19074247,bisacodyl 5 MG Delayed Release Oral Tablet,Drug,RxNorm,1,yxx,2026-09-02,
BORTEZOMIB 3.5 MG SOLUTION FOR INJECTION (SUBCUTANEOUS),SOURCE,19102218,bortezomib 3.5 MG Injection,Drug,RxNorm,1,yxx,2026-09-02,
BUPRENORPHINE 8 MG-NALOXONE 2 MG SUBLINGUAL FILM,SOURCE,40225993,buprenorphine 8 MG / naloxone 2 MG Sublingual Film,Drug,RxNorm,1,yxx,2026-09-02,
BUPRENORPHINE HCL 2 MG SUBLINGUAL TABLET,SOURCE,1133229,buprenorphine 2 MG Sublingual Tablet,Drug,RxNorm,1,yxx,2026-09-02,
BUPRENORPHINE HCL 8 MG SUBLINGUAL TABLET,SOURCE,1133230,buprenorphine 8 MG Sublingual Tablet,Drug,RxNorm,1,yxx,2026-09-02,
CARBOPLATIN CHEMO IVPB (TOTAL VOLUME),SOURCE,42480412,Carboplatin Injection,Drug,RxNorm Extension,1,yxx,2026-09-02,
CARVEDILOL 12.5 MG TABLET,SOURCE,19022750,carvedilol 12.5 MG Oral Tablet,Drug,RxNorm,1,yxx,2026-09-02,
CARVEDILOL 25 MG TABLET,SOURCE,19022781,carvedilol 25 MG Oral Tablet,Drug,RxNorm,1,yxx,2026-09-02,
CARVEDILOL 3.125 MG TABLET,SOURCE,1346990,carvedilol 3.125 MG Oral Tablet,Drug,RxNorm,1,yxx,2026-09-02,
CARVEDILOL 6.25 MG TABLET,SOURCE,19022749,carvedilol 6.25 MG Oral Tablet,Drug,RxNorm,1,yxx,2026-09-02,
CEFAZOLIN 2 GRAM/100 ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS SOLUTION,SOURCE,36785974,Cefazolin 2000 MG Intravenous Solution,Drug,RxNorm Extension,1,yxx,2026-09-02,
CEFDINIR 300 MG CAPSULE,SOURCE,19023564,cefdinir 300 MG Oral Capsule,Drug,RxNorm,1,yxx,2026-09-02,
CEPHALEXIN 500 MG CAPSULE,SOURCE,19075034,cephalexin 500 MG Oral Capsule,Drug,RxNorm,1,yxx,2026-09-02,
CIPROFLOXACIN 500 MG TABLET,SOURCE,19075380,ciprofloxacin 500 MG Oral Tablet,Drug,RxNorm,1,yxx,2026-09-02,
CISPLATIN CHEMO INFUSION IN 250 ML NS (TOTAL VOLUME),SOURCE,35604086,cisplatin Injection,Drug,RxNorm,1,yxx,2026-09-02,
CLONAZEPAM 0.5 MG TABLET,SOURCE,798875,clonazepam 0.5 MG Oral Tablet,Drug,RxNorm,1,yxx,2026-09-02,
CLOPIDOGREL 75 MG TABLET,SOURCE,19075601,clopidogrel 75 MG Oral Tablet,Drug,RxNorm,1,yxx,2026-09-02,
COLCHICINE 0.6 MG TABLET,SOURCE,1101556,colchicine 0.6 MG Oral Tablet,Drug,RxNorm,1,yxx,2026-09-02,
DEXAMETHASONE SODIUM PHOSPHATE 4 MG/ML INJECTION SOLUTION,SOURCE,40231785,dexamethasone sodium phosphate 4 MG/ML Injectable Solution,Drug,RxNorm,1,yxx,2026-09-02,
DEXTROSE 5 % AND 0.9 % SODIUM CHLORIDE INTRAVENOUS SOLUTION,SOURCE,42939025,Glucose 50 MG/ML / Sodium Chloride 9 MG/ML [DEXTROSE AND SODIUM CHLORIDE],Drug,RxNorm Extension,1,yxx,2026-09-02,
DEXTROSE 50 % IN WATER (D50W) IV SOLUTION (UBER),SOURCE,36783901,Glucose 500 MG/ML Intravenous Solution,Drug,RxNorm Extension,1,yxx,2026-09-02,
DIAZEPAM 5 MG/ML INJECTION SYRINGE,SOURCE,1510861,diazepam 5 MG/ML Prefilled Syringe,Drug,RxNorm,1,yxx,2026-09-02,
DOCUSATE SODIUM 100 MG CAPSULE,SOURCE,40240688,docusate sodium 100 MG Oral Capsule,Drug,RxNorm,1,yxx,2026-09-02,
DOXYCYCLINE HYCLATE 100 MG CAPSULE,SOURCE,46234523,doxycycline hyclate 100 MG Oral Capsule,Drug,RxNorm,1,yxx,2026-09-02,
