source_string,code_system,concept_id,concept_name,domain_id,vocabulary_id,mapping_version,decided_by,decided_on,note
50801,SOURCE,3007913,Alveolar-arterial oxygen Partial pressure difference,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50801 'Alveolar-arterial Gradient' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50802,SOURCE,3012501,Base excess in Blood by calculation,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50802 'Base Excess' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50803,SOURCE,3006576,Bicarbonate [Moles/volume] in Blood,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50803 'Calculated Bicarbonate, Whole Blood' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50804,SOURCE,3031147,"Carbon dioxide, total [Moles/volume] in Blood by calculation",Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50804 'Calculated Total CO2' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50805,SOURCE,3023081,Carboxyhemoglobin/Hemoglobin.total in Blood,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50805 'Carboxyhemoglobin' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50806,SOURCE,3018572,Chloride [Moles/volume] in Blood,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50806 'Chloride, Whole Blood' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50808,SOURCE,3021119,Calcium.ionized [Moles/volume] in Blood,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50808 'Free Calcium' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50809,SOURCE,3000483,Glucose [Mass/volume] in Blood,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50809 'Glucose' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50810,SOURCE,3050746,Hematocrit [Volume Fraction] of Blood by Estimated,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50810 'Hematocrit, Calculated' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50811,SOURCE,3000963,Hemoglobin [Mass/volume] in Blood,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50811 'Hemoglobin' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50813,SOURCE,3047181,Lactate [Moles/volume] in Blood,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50813 'Lactate' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50814,SOURCE,3007930,Methemoglobin/Hemoglobin.total in Blood,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50814 'Methemoglobin' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50815,SOURCE,3005629,Inhaled oxygen flow rate,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50815 'O2 Flow' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50816,SOURCE,3020716,Inhaled oxygen concentration,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50816 'Oxygen' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50817,SOURCE,3013502,Oxygen saturation in Blood,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50817 'Oxygen Saturation' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50818,SOURCE,3013290,Carbon dioxide [Partial pressure] in Blood,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50818 'pCO2' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50819,SOURCE,3022875,Positive end expiratory pressure setting Ventilator,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50819 'PEEP' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50820,SOURCE,3010421,pH of Blood,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50820 'pH' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50821,SOURCE,3027315,Oxygen [Partial pressure] in Blood,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50821 'pO2' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50822,SOURCE,3005456,Potassium [Moles/volume] in Blood,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50822 'Potassium, Whole Blood' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50823,SOURCE,3020716,Inhaled oxygen concentration,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-31,"MIMIC-IV d_labitems itemid 50823 'Required O2' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50824,SOURCE,3000285,Sodium [Moles/volume] in Blood,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50824 'Sodium, Whole Blood' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50825,SOURCE,3020891,Body temperature,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50825 'Temperature' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50826,SOURCE,3012410,Tidal volume setting Ventilator,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50826 'Tidal Volume' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50827,SOURCE,21492234,Ventilation rate by Carbon dioxide measurement,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-02,"MIMIC-IV d_labitems itemid 50827 'Ventilation Rate' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50828,SOURCE,3004921,Ventilation mode Ventilator,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50828 'Ventilator' (Blood; Blood Gas); community mapping, imported 2026-09-11"
50830,SOURCE,3027480,Carbon dioxide [Partial pressure] in Body fluid,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50830 'pCO2, Body Fluid' (Other Body Fluid; Blood Gas); community mapping, imported 2026-09-11"
50831,SOURCE,3018672,pH of Body fluid,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50831 'pH' (Other Body Fluid; Blood Gas); community mapping, imported 2026-09-11"
50832,SOURCE,3010251,Oxygen [Partial pressure] in Body fluid,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50832 'pO2, Body Fluid' (Other Body Fluid; Blood Gas); community mapping, imported 2026-09-11"
50833,SOURCE,3036243,Potassium [Moles/volume] in Body fluid,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50833 'Potassium' (Other Body Fluid; Blood Gas); community mapping, imported 2026-09-11"
50834,SOURCE,3022810,Sodium [Moles/volume] in Body fluid,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50834 'Sodium, Body Fluid' (Other Body Fluid; Blood Gas); community mapping, imported 2026-09-11"
50835,SOURCE,3026692,Albumin [Mass/volume] in Peritoneal fluid,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50835 'Albumin, Ascites' (Ascites; Chemistry); community mapping, imported 2026-09-11"
