source_string,code_system,concept_id,concept_name,domain_id,vocabulary_id,mapping_version,decided_by,decided_on,note
ECG 12-LEAD,SOURCE,4145308,12 lead ECG,Procedure,SNOMED,1,yxx,2026-09-02,
ECHO TRANSTHORACIC COMPLETE (TTE) (ADULT LAB),SOURCE,4335825,Transthoracic echocardiography,Procedure,SNOMED,1,yxx,2026-09-11,JHU-CTPE echo source: the study's order name; complete/limited and the performing lab are not concept distinctions (2026-09-11).
ECHO TRANSTHORACIC LIMITED (TTE) (ADULT LAB),SOURCE,4335825,Transthoracic echocardiography,Procedure,SNOMED,1,yxx,2026-09-11,JHU-CTPE echo source: the study's order name; complete/limited and the performing lab are not concept distinctions (2026-09-11).
ECHO TRANSTHORACIC - BLOOMBERG 2 (PEDS LAB),SOURCE,4335825,Transthoracic echocardiography,Procedure,SNOMED,1,yxx,2026-09-11,JHU-CTPE echo source: the study's order name; complete/limited and the performing lab are not concept distinctions (2026-09-11).
ECHO TRANSTHORACIC (TTE),SOURCE,4335825,Transthoracic echocardiography,Procedure,SNOMED,1,yxx,2026-09-11,JHU-CTPE echo source: the study's order name; complete/limited and the performing lab are not concept distinctions (2026-09-11).
ECHO TRANSTHORACIC - SATELLITE SITES (PEDS LAB),SOURCE,4335825,Transthoracic echocardiography,Procedure,SNOMED,1,yxx,2026-09-11,JHU-CTPE echo source: the study's order name; complete/limited and the performing lab are not concept distinctions (2026-09-11).
ECHO TRANSTHORACIC COMPLETE (TTE) (PEDS LAB),SOURCE,4335825,Transthoracic echocardiography,Procedure,SNOMED,1,yxx,2026-09-11,JHU-CTPE echo source: the study's order name; complete/limited and the performing lab are not concept distinctions (2026-09-11).
ECHOCARDIOGRAM TRANSTHORACIC,SOURCE,4335825,Transthoracic echocardiography,Procedure,SNOMED,1,yxx,2026-09-11,JHU-CTPE echo source: the study's order name; complete/limited and the performing lab are not concept distinctions (2026-09-11).
ECHO TRANSTHORACIC,SOURCE,4335825,Transthoracic echocardiography,Procedure,SNOMED,1,yxx,2026-09-11,JHU-CTPE echo source: the study's order name; complete/limited and the performing lab are not concept distinctions (2026-09-11).
ECHO TRANSTHORACIC LIMITED (TTE) (PEDS LAB),SOURCE,4335825,Transthoracic echocardiography,Procedure,SNOMED,1,yxx,2026-09-11,JHU-CTPE echo source: the study's order name; complete/limited and the performing lab are not concept distinctions (2026-09-11).
