source_string,code_system,concept_id,concept_name,domain_id,vocabulary_id,mapping_version,decided_by,decided_on,note
visit,TYPE_CONCEPT,32827,EHR encounter record,Type Concept,Type Concept,1,yxx,2026-09-12,"OMOP requires a type concept on every clinical row to say where the record came from. the source is an encounter record in the hospital's EHR, not a claim or a registry (2026-09-12)."
condition_problem_list,TYPE_CONCEPT,32840,EHR problem list,Type Concept,Type Concept,1,yxx,2026-09-12,"OMOP requires a type concept on every clinical row to say where the record came from. diagnoses arrive as a coded list attached to an encounter (2026-09-12)."
drug_order,TYPE_CONCEPT,32838,EHR prescription,Type Concept,Type Concept,1,yxx,2026-09-12,"OMOP requires a type concept on every clinical row to say where the record came from. the prescribing record, distinct from the administration record below (2026-09-12)."
drug_admin,TYPE_CONCEPT,32818,EHR administration record,Type Concept,Type Concept,1,yxx,2026-09-12,"OMOP requires a type concept on every clinical row to say where the record came from. a documented act of giving a dose; OMOP has a type for it and this export uses it (2026-09-12)."
procedure,TYPE_CONCEPT,32817,EHR,Type Concept,Type Concept,1,yxx,2026-09-12,"OMOP requires a type concept on every clinical row to say where the record came from. coded procedures arrive with the encounter and no narrower EHR type applies (2026-09-12)."
measurement,TYPE_CONCEPT,32817,EHR,Type Concept,Type Concept,1,yxx,2026-09-12,"OMOP requires a type concept on every clinical row to say where the record came from. laboratory and flowsheet values; no narrower EHR type fits both (2026-09-12)."
note,TYPE_CONCEPT,32831,EHR note,Type Concept,Type Concept,1,yxx,2026-09-12,"OMOP requires a type concept on every clinical row to say where the record came from. clinical note text as written in the record (2026-09-12)."
note_class,TYPE_CONCEPT,32831,EHR note,Type Concept,Type Concept,1,yxx,2026-09-12,"OMOP requires a type concept on every clinical row to say where the record came from. the note's own type, published beside it (2026-09-12)."
death,TYPE_CONCEPT,32817,EHR,Type Concept,Type Concept,1,yxx,2026-09-12,"OMOP requires a type concept on every clinical row to say where the record came from. the date comes from the hospital record rather than a death certificate or registry (2026-09-12)."
observation,TYPE_CONCEPT,32817,EHR,Type Concept,Type Concept,1,yxx,2026-09-12,"OMOP requires a type concept on every clinical row to say where the record came from. patient attributes and codes OMOP routes to OBSERVATION (2026-09-12)."
observation_period,TYPE_CONCEPT,32817,EHR,Type Concept,Type Concept,1,yxx,2026-09-12,"OMOP requires a type concept on every clinical row to say where the record came from. the span is derived from the events this export published (2026-09-12)."
