source_string,code_system,concept_id,concept_name,domain_id,vocabulary_id,mapping_version,decided_by,decided_on,note
%,UNIT,8554,percent,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM %; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
% SAT,UNIT,8554,percent,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM %; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
/cu mm,UNIT,8647,per microliter,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM /uL; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
/HPF,UNIT,8786,per high power field,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM /[HPF]; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
10*3/uL,UNIT,8848,thousand per microliter,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM 10*3/uL; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
bpm,UNIT,8541,per minute,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM /min; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
degrees,UNIT,9484,degree,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM deg; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
feet,UNIT,9306,foot (international),Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM [ft_i]; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
k/cmm,UNIT,8848,thousand per microliter,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM 10*3/uL; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
K/cu mm,UNIT,8848,thousand per microliter,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM 10*3/uL; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
K/CUMM,UNIT,8848,thousand per microliter,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM 10*3/uL; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
K/mm3,UNIT,8848,thousand per microliter,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM 10*3/uL; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
K/uL,UNIT,8848,thousand per microliter,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM 10*3/uL; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
L,UNIT,8519,liter,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM L; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
L/s,UNIT,32700,liter per second,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM L/s; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
m,UNIT,9546,meter,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM m; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
mEq/L,UNIT,9557,milliequivalent per liter,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM 10*-3.eq/L; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
mg/dL,UNIT,8840,milligram per deciliter,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM mg/dL; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
mL/min/mmHg,UNIT,32699,milliliter per minute per millimeter mercury column,Unit,UCUM,1,yxx,2026-09-13,"CTPE unit spelling read as UCUM mL/min/mm[Hg]; concept verified in the vocabulary as domain Unit, vocabulary UCUM, standard, not invalid."
