code_system,source_code,ucum,low,high,basis
SOURCE,NA,mmol/L,100,180,"serum sodium: below 100 or above 180 mmol/L is not survivable; the data run 119-160 between the 0.1st and 99.9th percentile, extremes 13.7 and 1235 are entry errors (2026-09-14)"
SOURCE,NA,10*-3.eq/L,100,180,"same bounds as mmol/L: sodium is monovalent, 1 mEq/L = 1 mmol/L exactly"
SOURCE,K,mmol/L,1,10,"serum potassium: below 1 or above 10 mmol/L is not survivable; data 2.6-7.3 between the 0.1st and 99.9th percentile, extremes 363 and 406 are entry errors"
SOURCE,K,10*-3.eq/L,1,10,"same bounds as mmol/L: potassium is monovalent, 1 mEq/L = 1 mmol/L exactly"
SOURCE,CREATININE,mg/dL,0.1,40,"serum creatinine: below 0.1 mg/dL is under the assay reporting limit, above 40 is not seen even in anuric dialysis patients; data 0.1-19.4 between the 0.1st and 99.9th percentile, extremes 393 and 426"
SOURCE,BUN,mg/dL,0,300,"blood urea nitrogen: above 300 mg/dL is not survivable; data 2-123 between the 0.1st and 99.9th percentile, extreme 1247"
SOURCE,HCT,%,5,75,"haematocrit: below 5% or above 75% is not compatible with life; data 11-54.4 between the 0.1st and 99.9th percentile, extreme 402.2"
SOURCE,WBC,10*3/uL,0,500,"white cell count: 0 is possible under chemotherapy, above 500 x10^3/uL occurs only in leukaemic hyperleukocytosis; data 0.12-89 between the 0.1st and 99.9th percentile, extremes 7300 and 9300 are counts entered in cells/uL under a thousands unit"
SOURCE,WBC,/uL,0,500000,"the same bounds as 10*3/uL scaled by 1000, for the rows whose unit is per cubic millimetre; half of those rows carry a value that is really in thousands and will be flagged"
SOURCE,BILITOT,mg/dL,0,70,"total bilirubin: the highest reported values in complete biliary obstruction and haemolysis are around 60 mg/dL; data 0.1-32.5 between the 0.1st and 99.9th percentile"
SOURCE,PHART,pH,6.5,8.0,"arterial pH: 6.5-8.0 spans every survived case in the literature; data 6.46-7.82"
SOURCE,O2SATART,%,20,100,"arterial oxygen saturation by co-oximetry: cannot exceed 100%; readings under 20% are not seen in a living patient; data 39-100 between the 0.1st and 99.9th percentile, extreme 100.9"
SOURCE,VENTRICULAR RATE,/min,20,300,"ventricular rate: below 20 or above 300/min is outside any sustained rhythm; data median 84, extreme 303"
SOURCE,ECG HEART RATE,/min,20,300,"heart rate, same bounds as the ventricular rate; data 23-216"
SOURCE,ATRIAL RATE,/min,20,650,"atrial rate: flutter runs 250-350/min and fibrillation up to about 600/min as the machine counts it; data median 84, extreme 1010"
SOURCE,QRS DURATION,ms,20,300,"QRS duration: under 20 ms cannot be measured, over 300 ms is outside any conducted or paced complex; data median 90, extreme 396"
SOURCE,ECG QRS DURATION,ms,20,300,"same bounds as QRS DURATION; data 60-188"
SOURCE,ECG P DURATION,ms,20,300,"P-wave duration: the same measurement bounds; data 52-162"
SOURCE,P-R INTERVAL,ms,40,600,"PR interval: under 40 ms is pre-excitation at its shortest, over 600 ms is not seen even in extreme first-degree block; data median 156, extreme 65532 is a sentinel"
SOURCE,ECG PR INTERVAL,ms,40,600,"same bounds as P-R INTERVAL; data 86-444"
SOURCE,Q-T INTERVAL,ms,100,900,"QT interval: below 100 ms cannot occur, above 900 ms is beyond the longest reported drug-induced prolongation; data median 384, extreme 904"
SOURCE,Q-T  INTERVAL,ms,100,900,"the same component as written on 1,054,138 rows, with two spaces in its name; same bounds"
SOURCE,Q-T INTERVA,ms,100,900,"the same component with its name cut short in the export; same bounds"
SOURCE,ECG QT INTERVAL,ms,100,900,"same bounds as Q-T INTERVAL; data 242-716"
SOURCE,QTC CALCULATION (BEZET),ms,150,900,"corrected QT: the same physiological ceiling after correction; data median 451, extreme 1021"
SOURCE,QTC CALCULATION(BEZET),ms,150,900,"the same component spelled without the space; same bounds"
SOURCE,ECG QTC INTERVAL,ms,150,900,"same bounds as QTC CALCULATION; data 354-651"
SOURCE,ECG RR INTERVAL,ms,200,3000,"RR interval: the reciprocal of a 20-300/min rate; data 277-2538"
SOURCE,Q-T DISPERSION,ms,0,300,"QT dispersion across leads: over 300 ms exceeds any reported value; data 4-146"
SOURCE,T AXIS,deg,-180,360,"frontal-plane axis: one turn; the export writes axes in -89..270 and -180..180 conventions"
SOURCE,R AXIS,deg,-180,360,"frontal-plane axis; same convention"
SOURCE,P AXIS,deg,-180,360,"frontal-plane axis; same convention"
SOURCE,ECG P AXIS,deg,-180,360,"frontal-plane axis; same convention"
SOURCE,ECG QRS AXIS,deg,-180,360,"frontal-plane axis; same convention"
SOURCE,ECG T AXIS,deg,-180,360,"frontal-plane axis; same convention"
SOURCE,SYSTOLIC BP,mm[Hg],30,300,"systolic pressure recorded with the ECG: under 30 mmHg is not a perfusing pressure, over 300 is beyond any recorded crisis; data median 123, extreme 65531 is a sentinel"
SOURCE,DIASTOLIC BP,mm[Hg],10,200,"diastolic pressure recorded with the ECG: bounds of the same kind; data median 65, extreme 65530 is a sentinel"
SOURCE,FVC_ZBD,L,0.1,10,"forced vital capacity in litres: the largest adult lungs reach about 8 L; data 0.31-7.31"
SOURCE,FEV1_ZBD,L,0.1,10,"FEV1 in litres, same ceiling as FVC; data 0.17-5.6"
SOURCE,FVC_AFD,L,0.1,10,"post-bronchodilator FVC, same bounds; data 0.53-7.16"
SOURCE,FEV1_AFD,L,0.1,10,"post-bronchodilator FEV1, same bounds; data 0.18-5.54"
SOURCE,TLC_ZBD,L,0.5,15,"total lung capacity in litres: above 15 L is beyond any measured adult; data 1.09-12.06"
SOURCE,RV_ZBD,L,0,10,"residual volume in litres, cannot exceed the TLC ceiling; data 0.05-6.94"
SOURCE,FEV1OFVC_ZBD,%,0,100,"FEV1/FVC is a ratio of two volumes, so it lies in 0-100%; data 24-109 (values over 100 come from FEV1 measured on a different effort)"
SOURCE,FEV1OFVC_AFD,%,0,100,"same ratio after bronchodilator; data 26-99"
SOURCE,FEF25_75_ZBD,L/s,0,20,"mid-expiratory flow: peak flows top out near 16 L/s; data 0.01-7.71"
SOURCE,DLCO_UNC_ZBD,mL/min/mm[Hg],0,80,"uncorrected diffusing capacity: the highest values in large athletes are around 60 mL/min/mmHg; data 0.52-45.81"
SOURCE,6MW_RA_METERS,m,0,1000,"six-minute walk distance: 1000 m would be a 10 km/h pace for six minutes; data 7-666"
SOURCE,6MW_O2_METERS,m,0,1000,"same bound; data 15-579"
SOURCE,6MW_RA_FEET,[ft_i],0,3300,"the same 1000 m bound in feet; data 24-2185"
SOURCE,6MW_O2_FEET,[ft_i],0,3300,"same bound; data 50-1900"
