from_ucum,to_ucum,factor,offset,basis
[degF],Cel,5/9,-160/9,"Cel = ([degF] - 32) * 5/9; exact by definition of the Fahrenheit scale (decision D-R1 reads CU-CTPA temperatures as Fahrenheit and publishes the Celsius value beside the original)"
[lb_av],kg,0.45359237,0,"international avoirdupois pound, defined as exactly 0.45359237 kg (1959 agreement)"
[oz_av],g,28.349523125,0,"one sixteenth of [lb_av], exactly 28.349523125 g"
[stone_av],kg,6.35029318,0,"fourteen [lb_av], exactly 6.35029318 kg"
[in_i],cm,2.54,0,"international inch, defined as exactly 2.54 cm (1959 agreement)"
[ft_i],cm,30.48,0,"twelve [in_i], exactly 30.48 cm"
cm3,mL,1,0,"one cubic centimetre is one millilitre by definition of the litre"
mm3,uL,1,0,"one cubic millimetre is one microlitre by definition of the litre"
10*3/mm3,10*3/uL,1,0,"a count per cubic millimetre is the same count per microlitre (1 mm3 = 1 uL); the spellings K/cu mm and K/uL name one quantity"
10*6/mm3,10*6/uL,1,0,"a count per cubic millimetre is the same count per microlitre (1 mm3 = 1 uL)"
/mm3,/uL,1,0,"a count per cubic millimetre is the same count per microlitre (1 mm3 = 1 uL)"
{cells}/mm3,{cells}/uL,1,0,"a count per cubic millimetre is the same count per microlitre (1 mm3 = 1 uL)"
10*9/L,10*3/uL,1,0,"10^9 per litre is 10^3 per microlitre; the SI and the conventional spelling of one cell count"
10*12/L,10*6/uL,1,0,"10^12 per litre is 10^6 per microlitre; the SI and the conventional spelling of one cell count"
