source_unit,ucum,basis
mg,mg,UCUM case-sensitive code: milligram
milligram,mg,UCUM case-sensitive code: milligram
milligrams,mg,UCUM case-sensitive code: milligram
mgs,mg,UCUM case-sensitive code: milligram
mcg,ug,UCUM case-sensitive code: microgram; mcg is the clinical spelling
ug,ug,UCUM case-sensitive code: microgram; mcg is the clinical spelling
µg,ug,UCUM case-sensitive code: microgram; mcg is the clinical spelling
μg,ug,UCUM case-sensitive code: microgram; mcg is the clinical spelling
microgram,ug,UCUM case-sensitive code: microgram; mcg is the clinical spelling
micrograms,ug,UCUM case-sensitive code: microgram; mcg is the clinical spelling
mcgs,ug,UCUM case-sensitive code: microgram; mcg is the clinical spelling
g,g,UCUM case-sensitive code: gram
gm,g,UCUM case-sensitive code: gram
gms,g,UCUM case-sensitive code: gram
gram,g,UCUM case-sensitive code: gram
grams,g,UCUM case-sensitive code: gram
kg,kg,UCUM case-sensitive code: kilogram
kgs,kg,UCUM case-sensitive code: kilogram
kilogram,kg,UCUM case-sensitive code: kilogram
kilograms,kg,UCUM case-sensitive code: kilogram
ng,ng,UCUM case-sensitive code: nanogram
nanogram,ng,UCUM case-sensitive code: nanogram
nanograms,ng,UCUM case-sensitive code: nanogram
pg,pg,UCUM case-sensitive code: picogram
picogram,pg,UCUM case-sensitive code: picogram
picograms,pg,UCUM case-sensitive code: picogram
lb,[lb_av],UCUM case-sensitive code: avoirdupois pound; OMOP's UCUM vocabulary spells it [lb_us]; converted to kg by unit_conversions.csv
lbs,[lb_av],UCUM case-sensitive code: avoirdupois pound; OMOP's UCUM vocabulary spells it [lb_us]; converted to kg by unit_conversions.csv
pound,[lb_av],UCUM case-sensitive code: avoirdupois pound; OMOP's UCUM vocabulary spells it [lb_us]; converted to kg by unit_conversions.csv
pounds,[lb_av],UCUM case-sensitive code: avoirdupois pound; OMOP's UCUM vocabulary spells it [lb_us]; converted to kg by unit_conversions.csv
oz,[oz_av],UCUM case-sensitive code: avoirdupois ounce; converted to g by unit_conversions.csv
ounce,[oz_av],UCUM case-sensitive code: avoirdupois ounce; converted to g by unit_conversions.csv
ounces,[oz_av],UCUM case-sensitive code: avoirdupois ounce; converted to g by unit_conversions.csv
stone,[stone_av],UCUM case-sensitive code: stone (14 [lb_av]); converted to kg by unit_conversions.csv
stones,[stone_av],UCUM case-sensitive code: stone (14 [lb_av]); converted to kg by unit_conversions.csv
st,[stone_av],UCUM case-sensitive code: stone (14 [lb_av]); converted to kg by unit_conversions.csv
mL,mL,"UCUM case-sensitive code: millilitre; cc is one cubic centimetre, which is one millilitre exactly"
milliliter,mL,"UCUM case-sensitive code: millilitre; cc is one cubic centimetre, which is one millilitre exactly"
milliliters,mL,"UCUM case-sensitive code: millilitre; cc is one cubic centimetre, which is one millilitre exactly"
millilitre,mL,"UCUM case-sensitive code: millilitre; cc is one cubic centimetre, which is one millilitre exactly"
millilitres,mL,"UCUM case-sensitive code: millilitre; cc is one cubic centimetre, which is one millilitre exactly"
cc,mL,"UCUM case-sensitive code: millilitre; cc is one cubic centimetre, which is one millilitre exactly"
mls,mL,"UCUM case-sensitive code: millilitre; cc is one cubic centimetre, which is one millilitre exactly"
L,L,UCUM case-sensitive code: litre
liter,L,UCUM case-sensitive code: litre
liters,L,UCUM case-sensitive code: litre
litre,L,UCUM case-sensitive code: litre
litres,L,UCUM case-sensitive code: litre
ltr,L,UCUM case-sensitive code: litre
dL,dL,UCUM case-sensitive code: decilitre
deciliter,dL,UCUM case-sensitive code: decilitre
decilitre,dL,UCUM case-sensitive code: decilitre
uL,uL,UCUM case-sensitive code: microlitre; mcL is the clinical spelling
µL,uL,UCUM case-sensitive code: microlitre; mcL is the clinical spelling
μL,uL,UCUM case-sensitive code: microlitre; mcL is the clinical spelling
mcL,uL,UCUM case-sensitive code: microlitre; mcL is the clinical spelling
microliter,uL,UCUM case-sensitive code: microlitre; mcL is the clinical spelling
microlitre,uL,UCUM case-sensitive code: microlitre; mcL is the clinical spelling
fL,fL,UCUM case-sensitive code: femtolitre (mean cell volume)
femtoliter,fL,UCUM case-sensitive code: femtolitre (mean cell volume)
femtolitre,fL,UCUM case-sensitive code: femtolitre (mean cell volume)
cm3,cm3,UCUM case-sensitive code: cubic centimetre; converted to mL by unit_conversions.csv
cm^3,cm3,UCUM case-sensitive code: cubic centimetre; converted to mL by unit_conversions.csv
cubic centimeter,cm3,UCUM case-sensitive code: cubic centimetre; converted to mL by unit_conversions.csv
cubic centimetre,cm3,UCUM case-sensitive code: cubic centimetre; converted to mL by unit_conversions.csv
mm3,mm3,UCUM case-sensitive code: cubic millimetre; converted to uL by unit_conversions.csv
mm^3,mm3,UCUM case-sensitive code: cubic millimetre; converted to uL by unit_conversions.csv
cu mm,mm3,UCUM case-sensitive code: cubic millimetre; converted to uL by unit_conversions.csv
cumm,mm3,UCUM case-sensitive code: cubic millimetre; converted to uL by unit_conversions.csv
cubic millimeter,mm3,UCUM case-sensitive code: cubic millimetre; converted to uL by unit_conversions.csv
