source_unit,ucum,basis
K/cu mm,10*3/mm3,"thousand per cubic millimetre, the WBC unit on 2,131,254 lab rows, and on 3,739 more written K/CU MM -- one row, because the table is keyed case-insensitively; 1 mm3 = 1 uL exactly, so it is the same unit as 10*3/uL (2026-09-14); reconciled 2026-09-14 with reference/units/common.csv, which owns this spelling"
K/CUMM,10*3/mm3,"thousand per cubic millimetre written without spaces (30,231 rows, also k/cumm); 1 mm3 = 1 uL; reconciled 2026-09-14 with reference/units/common.csv, which owns this spelling"
K/mm3,10*3/mm3,"thousand per cubic millimetre (6,268 rows, also k/mm3); 1 mm3 = 1 uL; reconciled 2026-09-14 with reference/units/common.csv, which owns this spelling"
k/cmm,10*3/uL,thousand per cubic millimetre abbreviated (72 rows); 1 mm3 = 1 uL
Thou/mm3,10*3/mm3,"thousand per cubic millimetre (2 rows); 1 mm3 = 1 uL; reconciled 2026-09-14 with reference/units/common.csv, which owns this spelling"
x10E3/uL,10*3/uL,"ten to the third per microlitre (45,138 rows, also x10E3/ul)"
x10-3/uL,10*3/uL,"the same unit with the exponent sign dropped (13 rows): a count in thousands, as its values show"
Thousand/uL,10*3/uL,"thousand per microlitre spelled out (13,074 rows)"
thou/uL,10*3/uL,"thousand per microlitre abbreviated (1,006 rows)"
K/uL,10*3/uL,"K for thousand per microlitre (93 rows, also K/UL)"
10*3/uL,10*3/uL,"already the UCUM spelling (4,147 rows)"
/cu mm,/mm3,"per cubic millimetre, a cell count not in thousands (1,707 WBC rows); 1 mm3 = 1 uL; reconciled 2026-09-14 with reference/units/common.csv, which owns this spelling"
/HPF,/[HPF],per high-power field: a urine microscopy count that reached the WBC code (198 rows)
mEq/L,10*-3.eq/L,"milliequivalent per litre (752,321 rows, also meq/L and MEQ/L); UCUM concept 9557"
% SAT,%,"percent saturation on 6,254 arterial saturation rows: the suffix names the analyte, the unit is percent"
pH,pH,"the unit declared for PHART, whose 332,765 rows carry none; UCUM concept 8482"
degrees,deg,the unit declared for the ECG frontal-plane axes
L,L,"litre: spirometry volumes declared for pft_values, and 6,059 dose rows"
L/s,L/s,"litre per second, the unit declared for spirometry flows"
mL/min/mmHg,mL/min/mm[Hg],the unit declared for diffusing capacity (DLCO)
mL/min/mmHg/L,mL/min/mm[Hg]/L,the unit declared for diffusing capacity per litre of alveolar volume (DL/VA)
seconds,s,the unit declared for the breath-hold time
feet,[ft_i],the unit declared for walk distances whose name says FEET
mL/hr,mL/h,"infusion rate (412,133 order rows); UCUM concept 44777613"
tablet,{tbl},"count of tablets (383,724 order rows); UCUM concept 9431"
puff,{puff},"count of inhaler puffs (205,574 order rows); no UCUM concept, annotation kept"
mg/kg/dose,mg/kg/{dose},"weight-based dose (164,748 order rows); no concept for the per-dose form"
patch,{patch},count of transdermal patches; no UCUM concept
mg/m2/dose,mg/m2/{dose},body-surface-area dose per dose; no concept
drop,[drp],count of drops; UCUM concept 9296
spray,{spray},count of nasal sprays; no UCUM concept
mmol,mmol,"millimole (66,034 order rows); UCUM concept 9573"
mcg/kg/min,ug/kg/min,"weight-based infusion rate (44,914 order rows); UCUM concept 9688"
Units/hr,[U]/h,"units per hour (29,205 order rows); UCUM concept 8630"
capsule,{capsule},count of capsules; no UCUM concept
Units/kg/hr,[U]/kg/h,units per kilogram per hour; no concept for this form
millicurie,mCi,"radioactivity (18,404 order rows, also microcurie below); UCUM concept 44819154"
mg/hr,mg/h,milligram per hour; UCUM concept 44777610
packet,{packet},count of packets; no UCUM concept
mcg/hr,ug/h,microgram per hour; UCUM concept 44777645
mL/kg/dose,mL/kg/{dose},weight-based volume per dose
