source_unit,ucum,basis
#/hpf,/[HPF],count per high power field
#/lpf,/[LPF],count per low power field
#/uL,/uL,count per microlitre
% of current infusion rate,,"a relative change to a rate, not a quantity"
%(50 mg/5 gram),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
(0.06 %),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
(0.6 mg/mL),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
"(1,000 mg)",,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
(1.5 mL),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
(10 mg/mL),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
(100 mcg/mL),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
(1250 mg),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
(18 mg/3 mL),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
(2 mg/mL),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
(21)/75 mg (7),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
(24)/75 mg (4),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
(25 mg/2.5gram),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
(3 mL),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
(300 mcg),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
(4 mg/mL),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
(50 mg/5 gram),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
(500 mg),,"a number, a product concentration, or a fragment of the product description written where the dose unit belongs; it does not measure the dose, so no UCUM code is given"
